Vardas         Pavarde        ND1  ND2  ND3  ND4  ND5  ND6  ND7  ND8  ND9  ND10 Egz.
Vardas794      Pavarde794     1    9    1    10   7    1    7    6    4    9    3
Vardas795      Pavarde795     8    6    3    7    1    7    7    8    1    3    7
Vardas796      Pavarde796     5    7    5    8    1    9    6    3    1    2    10
Vardas797      Pavarde797     9    7    4    8    8    7    8    8    3    1    8
Vardas798      Pavarde798     10   4    3    5    10   10   1    8    6    5    10
Vardas799      Pavarde799     1    8    4    9    7    5    10   3    1    9    3
Vardas800      Pavarde800     6    5    4    6    7    10   1    5    9    8    9
Vardas801      Pavarde801     5    3    9    3    5    8    4    4    6    6    9
Vardas802      Pavarde802     1    7    7    4    2    1    4    9    7    9    3
Vardas803      Pavarde803     6    6    4    7    2    4    9    7    2    5    7
Vardas804      Pavarde804     9    2    8    5    2    5    8    4    9    7    10
Vardas805      Pavarde805     4    10   1    2    4    6    3    9    3    8    1
Vardas806      Pavarde806     2    3    4    8    6    9    1    6    6    4    3
Vardas807      Pavarde807     5    2    8    8    2    3    10   5    1    7    7
Vardas808      Pavarde808     5    6    1    7    10   10   7    5    6    6    8
Vardas809      Pavarde809     3    2    10   6    6    1    7    9    10   4    5
Vardas810      Pavarde810     7    9    9    5    2    3    2    1    2    7    9
Vardas811      Pavarde811     10   9    7    6    3    7    3    8    4    3    1
Vardas812      Pavarde812     1    1    7    4    4    8    8    10   6    4    8
Vardas813      Pavarde813     3    9    4    5    4    5    6    2    4    2    9
Vardas814      Pavarde814     1    4    10   2    4    6    5    4    1    6    3
Vardas815      Pavarde815     9    5    3    5    2    10   9    2    6    3    6
Vardas816      Pavarde816     1    2    3    7    2    5    3    6    7    3    9
Vardas817      Pavarde817     2    3    10   4    8    8    10   9    4    9    1
Vardas818      Pavarde818     1    6    8    5    6    10   7    6    4    6    8
Vardas819      Pavarde819     4    6    8    6    9    5    1    2    2    5    2
Vardas820      Pavarde820     7    3    2    6    2    1    5    7    3    1    4
Vardas821      Pavarde821     5    10   1    7    7    6    9    9    2    7    5
Vardas822      Pavarde822     6    1    3    3    1    4    5    2    4    7    8
Vardas823      Pavarde823     3    10   6    7    2    7    4    5    7    8    8
Vardas824      Pavarde824     3    5    7    1    5    4    8    2    8    3    8
Vardas825      Pavarde825     7    6    10   5    7    9    1    2    7    2    10
Vardas826      Pavarde826     4    4    1    1    6    6    3    5    6    5    1
Vardas827      Pavarde827     5    5    9    9    6    2    6    2    9    10   1
Vardas828      Pavarde828     8    6    2    1    4    6    8    2    3    7    9
Vardas829      Pavarde829     4    1    6    1    3    5    7    9    7    4    5
Vardas830      Pavarde830     1    3    3    2    8    8    10   3    4    2    10
Vardas831      Pavarde831     9    2    8    9    6    4    8    7    6    6    2
Vardas832      Pavarde832     4    7    7    1    5    4    1    5    4    7    4
Vardas833      Pavarde833     4    2    9    8    1    4    1    9    10   10   10
Vardas834      Pavarde834     9    3    8    3    1    8    1    7    1    6    7
Vardas835      Pavarde835     4    5    2    10   7    2    7    7    1    5    4
Vardas836      Pavarde836     6    1    4    8    5    6    5    6    8    6    2
Vardas837      Pavarde837     1    3    4    8    4    6    3    6    8    8    1
Vardas838      Pavarde838     2    6    8    1    3    2    6    10   4    7    2
Vardas839      Pavarde839     7    10   10   4    3    5    8    4    8    7    9
Vardas840      Pavarde840     7    6    10   7    1    2    7    4    9    10   10
Vardas841      Pavarde841     7    3    2    2    1    5    2    5    3    3    6
Vardas842      Pavarde842     2    5    1    4    6    7    8    5    3    1    2
Vardas843      Pavarde843     3    2    4    10   4    6    4    5    4    8    8
Vardas844      Pavarde844     5    10   10   6    8    6    6    2    3    1    1
Vardas845      Pavarde845     8    8    6    3    10   3    2    5    4    8    4
Vardas846      Pavarde846     5    2    7    2    2    1    5    5    5    3    1
Vardas847      Pavarde847     1    2    9    6    9    9    9    7    5    5    5
Vardas848      Pavarde848     7    3    1    4    5    6    8    10   3    3    8
Vardas849      Pavarde849     4    9    5    1    6    4    8    8    3    3    9
Vardas850      Pavarde850     6    9    9    4    7    3    7    3    6    3    2
Vardas851      Pavarde851     6    7    3    10   1    10   5    6    6    2    8
Vardas852      Pavarde852     9    6    10   6    7    10   4    4    7    3    8
Vardas853      Pavarde853     5    7    10   10   4    10   10   9    1    9    1
Vardas854      Pavarde854     7    6    8    7    1    5    4    3    10   6    7
Vardas855      Pavarde855     3    5    9    8    5    5    10   4    6    8    3
Vardas856      Pavarde856     2    10   1    6    2    10   3    9    3    10   1
Vardas857      Pavarde857     10   8    2    2    10   2    5    6    8    2    10
Vardas858      Pavarde858     8    6    10   8    2    4    4    6    6    3    3
Vardas859      Pavarde859     2    8    10   7    8    10   5    4    9    6    6
Vardas860      Pavarde860     10   10   5    9    2    5    1    1    3    5    1
Vardas861      Pavarde861     4    8    1    7    8    2    6    7    3    4    9
Vardas862      Pavarde862     2    10   5    8    2    8    1    1    5    3    1
Vardas863      Pavarde863     3    6    10   2    10   2    10   5    9    5    4
Vardas864      Pavarde864     2    3    5    2    3    10   9    6    1    1    3
Vardas865      Pavarde865     1    1    10   6    1    1    7    9    5    5    8
Vardas866      Pavarde866     1    9    1    3    4    9    4    4    2    2    5
Vardas867      Pavarde867     10   9    7    2    9    8    5    6    10   10   1
Vardas868      Pavarde868     4    1    3    1    10   4    4    4    5    10   1
Vardas869      Pavarde869     9    4    7    10   10   10   3    9    1    4    4
Vardas870      Pavarde870     10   5    7    3    9    9    1    8    9    9    9
Vardas871      Pavarde871     4    2    10   5    2    1    2    9    1    5    8
Vardas872      Pavarde872     5    4    7    10   6    1    10   8    8    5    2
Vardas873      Pavarde873     4    7    1    9    10   3    10   10   1    7    10
Vardas874      Pavarde874     4    3    5    5    7    9    10   3    1    3    6
Vardas875      Pavarde875     8    8    7    10   7    10   5    1    2    3    10
Vardas876      Pavarde876     8    6    9    8    6    2    10   8    1    8    8
Vardas877      Pavarde877     7    6    6    8    8    4    7    7    1    7    10
Vardas878      Pavarde878     3    7    10   1    1    7    6    9    10   10   6
Vardas879      Pavarde879     4    5    1    2    3    6    7    8    4    1    8
Vardas880      Pavarde880     8    5    4    4    6    2    1    9    7    10   4
Vardas881      Pavarde881     10   10   2    9    9    9    1    6    3    10   6
Vardas882      Pavarde882     3    7    2    10   8    2    1    6    4    5    9
Vardas883      Pavarde883     9    8    10   1    2    3    5    6    7    3    2
Vardas884      Pavarde884     1    6    8    8    7    3    5    10   4    9    4
Vardas885      Pavarde885     1    3    1    9    8    3    6    9    8    3    7
Vardas886      Pavarde886     5    6    9    10   10   9    3    7    6    2    6
Vardas887      Pavarde887     1    5    3    5    7    4    2    8    6    3    1
Vardas888      Pavarde888     5    2    1    5    3    1    2    2    3    8    10
Vardas889      Pavarde889     4    3    10   2    1    10   2    6    7    7    10
Vardas890      Pavarde890     5    3    10   2    1    10   4    6    2    7    2
Vardas891      Pavarde891     6    1    8    4    10   9    8    9    7    4    5
Vardas892      Pavarde892     8    3    1    4    8    3    10   3    9    8    5
Vardas893      Pavarde893     5    9    5    1    5    2    2    2    9    3    7
Vardas894      Pavarde894     5    5    2    10   9    3    4    8    8    3    8
Vardas895      Pavarde895     10   5    5    6    6    2    4    9    6    7    8
Vardas896      Pavarde896     7    3    1    7    6    5    3    4    2    7    7
Vardas897      Pavarde897     1    4    10   9    10   8    7    4    7    10   10
Vardas898      Pavarde898     8    3    5    5    2    9    7    3    1    1    6
Vardas899      Pavarde899     8    5    10   7    5    8    3    8    4    9    2
Vardas900      Pavarde900     5    8    5    7    1    3    9    10   6    10   1
Vardas901      Pavarde901     4    8    5    8    10   5    6    7    6    4    3
Vardas902      Pavarde902     5    2    9    3    6    3    10   7    9    10   9
Vardas903      Pavarde903     9    10   8    4    2    1    4    2    3    9    5
Vardas904      Pavarde904     6    10   6    6    7    2    6    3    2    7    8
Vardas905      Pavarde905     4    8    8    9    9    7    6    5    2    10   3
Vardas906      Pavarde906     8    8    9    10   9    6    1    9    10   4    1
Vardas907      Pavarde907     8    4    10   7    8    9    1    9    2    10   9
Vardas908      Pavarde908     9    8    8    3    3    7    10   10   8    7    6
Vardas909      Pavarde909     9    1    10   9    7    7    8    1    7    3    10
Vardas910      Pavarde910     9    3    9    4    7    9    5    4    7    8    6
Vardas911      Pavarde911     6    6    6    3    10   10   6    10   6    4    1
Vardas912      Pavarde912     10   3    8    1    10   3    4    9    2    8    8
Vardas913      Pavarde913     8    3    2    6    9    8    1    9    1    7    4
Vardas914      Pavarde914     7    6    7    1    5    2    4    7    3    3    2
Vardas915      Pavarde915     7    1    2    8    6    8    8    7    7    7    1
Vardas916      Pavarde916     5    8    7    9    4    10   7    4    5    8    10
Vardas917      Pavarde917     7    2    7    6    8    5    10   7    7    2    3
Vardas918      Pavarde918     9    2    4    5    9    6    9    1    3    8    8
Vardas919      Pavarde919     5    9    10   2    1    9    7    4    9    5    5
Vardas920      Pavarde920     1    5    6    1    10   10   7    9    1    2    7
Vardas921      Pavarde921     7    8    9    4    1    10   10   5    2    8    10
Vardas922      Pavarde922     7    5    2    8    10   9    5    6    8    6    4
Vardas923      Pavarde923     10   5    7    4    7    3    7    6    2    1    9
Vardas924      Pavarde924     3    5    2    1    9    1    9    7    5    7    10
Vardas925      Pavarde925     7    6    1    1    4    3    7    8    9    8    3
Vardas926      Pavarde926     1    4    6    6    1    6    2    6    6    7    5
Vardas927      Pavarde927     10   2    10   3    4    7    5    8    4    2    4
Vardas928      Pavarde928     4    1    2    8    6    3    4    9    10   2    8
Vardas929      Pavarde929     5    7    8    2    4    3    4    7    10   2    2
Vardas930      Pavarde930     6    10   5    7    2    1    9    2    5    9    10
Vardas931      Pavarde931     6    1    8    4    6    8    8    2    7    7    3
Vardas932      Pavarde932     6    3    7    10   6    7    8    10   5    4    8
Vardas933      Pavarde933     5    8    7    6    2    1    1    5    2    8    3
Vardas934      Pavarde934     3    6    3    6    5    6    4    10   7    10   4
Vardas935      Pavarde935     5    7    4    3    3    10   7    3    5    1    7
Vardas936      Pavarde936     7    2    8    2    6    10   5    7    8    8    1
Vardas937      Pavarde937     4    6    2    10   10   5    1    9    9    8    3
Vardas938      Pavarde938     5    4    1    7    4    2    3    9    7    5    7
Vardas939      Pavarde939     1    7    2    10   5    8    9    6    6    8    4
Vardas940      Pavarde940     8    5    8    7    6    2    6    2    6    3    10
Vardas941      Pavarde941     2    5    1    2    7    3    2    2    5    9    1
Vardas942      Pavarde942     2    1    3    6    10   1    8    6    8    2    5
Vardas943      Pavarde943     9    5    5    1    6    10   5    7    2    1    9
Vardas944      Pavarde944     1    1    10   6    7    8    1    5    1    4    9
Vardas945      Pavarde945     8    3    1    4    7    10   4    1    6    7    5
Vardas946      Pavarde946     7    4    5    7    1    7    7    2    1    5    5
Vardas947      Pavarde947     4    7    2    6    5    10   2    9    1    9    9
Vardas948      Pavarde948     8    3    2    7    7    2    9    10   1    8    5
Vardas949      Pavarde949     7    9    9    4    3    8    9    5    5    6    8
Vardas950      Pavarde950     9    5    5    7    5    5    10   8    2    1    7
Vardas951      Pavarde951     2    4    6    8    2    4    10   5    2    1    4
Vardas952      Pavarde952     3    2    3    8    4    2    1    6    5    9    10
Vardas953      Pavarde953     7    9    2    8    1    3    8    8    3    3    5
Vardas954      Pavarde954     8    6    10   2    1    5    8    7    5    3    3
Vardas955      Pavarde955     6    9    6    10   9    6    9    7    6    8    4
Vardas956      Pavarde956     8    3    8    5    3    3    3    5    8    2    5
Vardas957      Pavarde957     6    6    4    5    5    9    6    1    8    5    3
Vardas958      Pavarde958     5    9    9    5    8    7    7    10   3    1    10
Vardas959      Pavarde959     1    2    7    3    2    8    1    4    8    3    10
Vardas960      Pavarde960     10   9    10   8    9    7    9    3    7    7    5
Vardas961      Pavarde961     7    8    2    10   4    2    1    7    6    2    6
Vardas962      Pavarde962     1    4    1    9    8    1    9    9    3    1    1
Vardas963      Pavarde963     7    2    10   4    10   2    8    1    7    6    4
Vardas964      Pavarde964     8    6    7    5    8    6    8    3    5    4    6
Vardas965      Pavarde965     4    6    4    7    2    5    4    2    4    3    9
Vardas966      Pavarde966     4    9    2    1    1    7    6    10   7    7    3
Vardas967      Pavarde967     5    6    4    9    4    7    10   6    7    7    2
Vardas968      Pavarde968     5    9    5    6    8    8    5    10   8    8    9
Vardas969      Pavarde969     10   8    2    6    9    8    1    6    10   8    9
Vardas970      Pavarde970     2    6    2    10   10   4    3    5    8    2    2
Vardas971      Pavarde971     6    6    6    10   9    4    10   4    5    10   9
Vardas972      Pavarde972     5    8    5    1    1    6    2    8    5    8    7
Vardas973      Pavarde973     2    4    5    1    10   4    10   6    8    3    6
Vardas974      Pavarde974     1    4    3    6    3    10   9    5    9    1    5
Vardas975      Pavarde975     6    8    6    2    3    7    9    2    9    7    6
Vardas976      Pavarde976     5    3    5    9    8    10   5    3    7    5    10
Vardas977      Pavarde977     3    8    4    2    4    2    10   8    6    3    5
Vardas978      Pavarde978     6    1    3    2    5    2    9    10   3    5    1
Vardas979      Pavarde979     1    5    1    8    3    10   9    1    8    6    8
Vardas980      Pavarde980     3    3    7    7    4    6    7    1    8    3    5
Vardas981      Pavarde981     1    7    4    8    1    4    8    3    1    7    7
Vardas982      Pavarde982     1    7    8    9    7    8    8    1    4    1    10
Vardas983      Pavarde983     1    9    10   10   2    9    7    6    6    5    5
Vardas984      Pavarde984     10   1    3    9    8    3    10   8    4    4    7
Vardas985      Pavarde985     9    7    4    10   1    6    1    4    1    10   10
Vardas986      Pavarde986     10   7    10   6    10   9    8    6    5    6    10
Vardas987      Pavarde987     4    2    3    5    8    10   6    9    3    7    2
Vardas988      Pavarde988     9    5    8    10   9    9    1    2    2    3    4
Vardas989      Pavarde989     8    4    2    5    5    4    9    10   4    5    9
Vardas990      Pavarde990     9    3    2    7    8    7    4    7    5    5    4
Vardas991      Pavarde991     3    6    1    4    9    5    1    4    3    9    8
Vardas992      Pavarde992     6    4    5    8    3    6    5    6    3    1    6
Vardas993      Pavarde993     1    1    3    10   9    6    4    7    9    8    1
Vardas994      Pavarde994     1    5    8    6    9    9    5    3    8    4    2
Vardas995      Pavarde995     4    5    2    7    7    8    7    8    3    3    5
Vardas996      Pavarde996     9    1    7    2    5    6    1    5    9    9    1
Vardas997      Pavarde997     9    10   2    1    6    10   4    5    9    5    6
Vardas998      Pavarde998     9    8    3    7    5    6    1    9    4    3    1
Vardas999      Pavarde999     8    5    8    3    1    9    7    5    3    1    8
